0,SF-R19,SF-R20,37.750494,-122.4338905,37.75088167,-122.4276223
1,SF-A27,SF-F28-2,37.80477,-122.40323400000001,37.7896195,-122.40080800000001
2,SF-P22,SF-I27,37.7567083,-122.421025,37.7807382,-122.40272809999999
3,SF-S24,SF-S22-1,37.747299600000005,-122.41140290000001,37.7476755,-122.42021499999998
4,SF-N21,SF-N21,37.7630152,-122.42649679999998,37.7630152,-122.42649679999998
5,SF-N21,SF-J3,37.76303283,-122.4265248,37.775403000000004,-122.49845819999999
6,SF-K18,SF-J14,37.77306467,-122.43911000000001,37.777643499999996,-122.45456270000001
7,SF-S24,SF-R24,37.747299600000005,-122.41140290000001,37.750945,-122.4120835
8,SF-N21,SF-N23,37.7630152,-122.42649679999998,37.7637348,-122.415524
9,SF-E22,SF-C20,37.79297985,-122.42330159999999,37.79920793,-122.43412169999999
10,SF-V28,SF-S30,37.7370395,-122.39449850000001,37.75029014,-122.3858017
11,SF-A20,SF-A20,37.80445117,-122.4335733,37.80563283,-122.4448582
12,SF-V28,SF-L30-1,37.7370395,-122.39449850000001,37.7703135,-122.3912365
13,SF-O21,SF-O18,37.7614205,-122.4264353,37.759211,-122.43679750000001
14,SF-F27,SF-J23-1,37.78879067,-122.40362520000001,37.776893,-122.4170852
15,SF-F28-1,SF-A25,37.7913,-122.399051,37.806929,-122.41153600000001
16,SF-H25,SF-H25,37.7840775,-122.411926,37.7840775,-122.411926
17,SF-A20,SF-J29-3,37.804433,-122.433523,37.776312,-122.39449499999999
18,SF-A20,SF-G19,37.804432500000004,-122.433523,37.78381271,-122.43455890000001
19,SF-K27-2,SF-G26,37.772712,-122.4035775,37.785876,-122.4089225
20,SF-K26,SF-B28,37.7714005,-122.4057142,37.80462767,-122.40194550000001
21,SF-A20,SF-C25,37.80448633,-122.4334855,37.80043033,-122.41087549999999
22,SF-P22,SF-L21,37.756807,-122.421103,37.769315999999996,-122.4268388
23,SF-E22,SF-G28-1,37.793108000000004,-122.42359750000001,37.78761117,-122.3986962
24,SF-J21,SF-H26,37.7762475,-122.42620249999999,37.78389936,-122.4084449
25,SF-A20,SF-G30-1,37.804432500000004,-122.433523,37.787963,-122.3918085
26,SF-J1,SF-M10,37.772954,-122.50907099999999,37.76393403,-122.4706507
27,SF-J26,SF-L31-1,37.7776645,-122.4063,37.77186783,-122.3867618
28,SF-P22,SF-I19,37.75678733,-122.42112579999998,37.77903067,-122.43700420000002
29,SF-C20,SF-I25,37.79920793,-122.43412169999999,37.7810737,-122.4117382
30,SF-N21,SF-N22-1B,37.7630152,-122.42649679999998,37.7648385,-122.42014099999999
31,SF-J1,SF-J12,37.77296367,-122.5090548,37.775225,-122.46502350000002
32,SF-A25,SF-E28,37.806929,-122.41153600000001,37.795001,-122.39997
33,SF-J21,SF-H28,37.7762775,-122.42619180000001,37.78396467,-122.398908
34,SF-A22,SF-G23,37.805385,-122.42300120000002,37.785581,-122.41958999999999
35,SF-A27,SF-E29-2,37.80478217,-122.403247,37.7945375,-122.3949625
36,SF-N21,SF-H15,37.76311367,-122.4265885,37.78064683,-122.4503193
37,SF-J21,SF-M22-1,37.77632667,-122.42619479999999,37.7683475,-122.4203425
38,SF-V28,SF-J29,37.73704983,-122.39440330000001,37.77657233,-122.39536000000001
39,SF-N21,SF-G27,37.76303133,-122.42658,37.78619133,-122.40564679999999
40,SF-E20,SF-N20-2,37.79060533,-122.4324905,37.763366,-122.430697
41,SF-N21,SF-L26,37.76308733,-122.4266095,37.769244,-122.4070497
42,SF-N21,SF-N25,37.7630152,-122.42649679999998,37.7645435,-122.410349
43,SF-A20,SF-G30-2,37.804432500000004,-122.433523,37.787332,-122.3881105
44,SF-J23-2,SF-J21,37.77466383,-122.41913319999999,37.7763595,-122.42598819999999
45,SF-M26-2,SF-J26,37.76852467,-122.40419579999998,37.77755817,-122.40630520000002
46,SF-W14,SF-N24-2,37.73165669,-122.45112150000001,37.7638471,-122.41300359999998
47,SF-J23-2,SF-N24-2,37.774814,-122.418954,37.7638471,-122.41300359999998
48,SF-O25-1,SF-C26-1,37.76040767,-122.4106838,37.79784467,-122.4061072
49,SF-E20,SF-E23,37.790572,-122.43245800000001,37.79420833,-122.4216277
50,SF-E20,SF-A26,37.79046933,-122.4325162,37.80718233,-122.40903349999999
51,SF-J5,SF-G6,37.7756845,-122.49408600000001,37.77957733,-122.4879037
52,SF-M21,SF-M21,37.76611367,-122.42662720000001,37.766077,-122.426607
53,SF-K19,SF-M15,37.77242117,-122.4358737,37.76602717,-122.4492307
54,SF-K27-2,SF-K20,37.77270133,-122.40364450000001,37.77193583,-122.4337207
55,SF-K27-2,SF-F27,37.77277283,-122.4034955,37.7888025,-122.4033437
56,SF-J21,SF-O22,37.77626333,-122.426253,37.75914917,-122.4214517
57,SF-P22,SF-O22,37.7567083,-122.421025,37.75921029999999,-122.4213392
58,SF-G20,SF-O22,37.785394000000004,-122.431821,37.75921029999999,-122.4213392
59,SF-K18,SF-G12,37.7731755,-122.43911029999998,37.78228733,-122.46544569999999
