67,SF-D28,SF-I28,37.79728,-122.398436,37.7811944,-122.3999862
68,SF-J20,SF-I28,37.7770527,-122.4295585,37.7811944,-122.3999862
69,SF-Q30,SF-I28,37.7554365,-122.3886788,37.78112767,-122.399657
70,SF-I23-2,SF-A22,37.77877383,-122.4181472,37.80534783,-122.42320500000001
71,SF-B25,SF-B25,37.80283917,-122.4133038,37.802814,-122.41330020000001
72,SF-B28,SF-C20,37.804648,-122.40208700000001,37.799208,-122.434122
73,SF-G10-1,SF-A22,37.7824855,-122.4719375,37.80534617,-122.42308419999999
74,SF-H29,SF-A22,37.7851994,-122.39621729999999,37.805442,-122.42313
75,SF-G26,SF-A22,37.78592233,-122.40890520000002,37.8054675,-122.42323300000001
76,SF-J22-2,SF-B25,37.77787317,-122.4230067,37.8027685,-122.41336329999999
77,SF-L31-1,SF-H30,37.7717667,-122.3866885,37.78292609,-122.3879206
78,SF-I25,SF-B25,37.7810737,-122.4117382,37.802767100000004,-122.4132756
79,SF-D24,SF-C20,37.79636483,-122.41672679999999,37.79919483,-122.4341043
80,SF-H28,SF-H30,37.78396917,-122.3988328,37.78319917,-122.3879767
81,SF-J26-2,SF-H30,37.77666378,-122.4079084,37.78292609,-122.3879206
82,SF-K29-1,SF-A22,37.77588,-122.39317,37.805442,-122.42313
83,SF-G13,SF-J13,37.78146762,-122.45880600000001,37.775328,-122.458104
84,SF-G25,SF-C20,37.78720667,-122.4133145,37.79923067,-122.43399950000001
85,SF-B22,SF-B25,37.8023,-122.4244135,37.802767100000004,-122.4132756
86,SF-L29,SF-A22,37.77235633,-122.39288729999998,37.80541883,-122.4230395
87,SF-C28-1,SF-A22,37.799953,-122.398525,37.805442,-122.42313
88,SF-G18,SF-B25,37.7844685,-122.4392433,37.8026945,-122.4131872
89,SF-G9,SF-A22,37.78071989,-122.47610359999999,37.805442,-122.42313
90,SF-J17,SF-A22,37.77738617,-122.4419478,37.80543617,-122.4230483
91,SF-K28,SF-A22,37.77523487,-122.3974371,37.805442,-122.42313
92,SF-G27,SF-B25,37.78608533,-122.40513529999998,37.802683,-122.41329350000001
93,SF-K21,SF-O22,37.77341397,-122.4273169,37.75921029999999,-122.4213392
94,SF-F29,SF-B25,37.79029644,-122.39387509999999,37.802767100000004,-122.4132756
95,SF-P21,SF-B25,37.75823842,-122.4260938,37.802767100000004,-122.4132756
96,SF-I30-2,SF-B25,37.7822586,-122.39146509999999,37.802767100000004,-122.4132756
97,SF-D27,SF-A22,37.795402,-122.4046885,37.805442,-122.42313
98,SF-G7,SF-C20,37.7819295,-122.48278549999999,37.79920793,-122.43412169999999
99,SF-G29-3,SF-B25,37.788032,-122.39562600000001,37.802767100000004,-122.4132756
100,SF-N28,SF-A22,37.76507733,-122.3991102,37.80548433,-122.4229533
101,SF-G29-1,SF-B25,37.787152,-122.3986947,37.80271667,-122.41335120000001
102,SF-K15-,SF-J13,37.7719511,-122.4537048,37.775328,-122.458104
